2,23,Chamba,84,Chaurah,6910,D.P.F.Topi  (398)
2,23,Chamba,84,Chaurah,6911,Kalei  (399)
2,23,Chamba,84,Chaurah,6912,Puktala  (395)
2,23,Chamba,84,Chaurah,6913,Galua  (380)
2,23,Chamba,84,Chaurah,6914,Meas  (384)
2,23,Chamba,84,Chaurah,6915,Trakar Kurandi  (385)
2,23,Chamba,84,Chaurah,6916,Teppa  (386)
2,23,Chamba,84,Chaurah,6917,Trakardar  (387)
2,23,Chamba,84,Chaurah,6918,Chandru  (391)
2,23,Chamba,84,Chaurah,6919,Trakar Khurian  (388)
2,23,Chamba,84,Chaurah,6920,R.F. Dalarun    (389)
2,23,Chamba,84,Chaurah,6921,R.F.Chandru  (390)
2,23,Chamba,84,Chaurah,6922,R.F.Uppar Tain  (392)
2,23,Chamba,84,Chaurah,6923,Devi Kothi  (383)
2,23,Chamba,84,Chaurah,6924,R.F.Devi Kothi  (382)
2,23,Chamba,84,Chaurah,6925,Silon  (381)
2,23,Chamba,84,Chaurah,6926,Sapranjla  (394)
2,23,Chamba,84,Chaurah,6927,R.F.Lowertain  (393)
2,23,Chamba,84,Chaurah,6928,D.P.F.Puktala  (397)
2,23,Chamba,84,Chaurah,6929,R.F.Puktala  (396)
2,23,Chamba,84,Chaurah,6930,Sagloga  (404)
2,23,Chamba,84,Chaurah,6931,Dudra  (419)
2,23,Chamba,84,Chaurah,6932,Paddar  (415)
2,23,Chamba,84,Chaurah,6933,Madan Shalancha  (414)
2,23,Chamba,84,Chaurah,6934,Dob Dikriund  (413)
2,23,Chamba,84,Chaurah,6935,Tisa  (412)
2,23,Chamba,84,Chaurah,6936,Kasbati Tisa  (411)
2,23,Chamba,84,Chaurah,6937,Shikari   (416)
2,23,Chamba,84,Chaurah,6938,Dhaneli  (418)
2,23,Chamba,84,Chaurah,6939,Chhapa  (420)
2,23,Chamba,84,Chaurah,6940,Dhar Jatbag  (421)
2,23,Chamba,84,Chaurah,6941,Jungra  (422)
2,23,Chamba,84,Chaurah,6942,Shri Garh    (424)
2,23,Chamba,84,Chaurah,6943,Khajwa  (431)
2,23,Chamba,84,Chaurah,6944,Dhar Maulgot  (428)
2,23,Chamba,84,Chaurah,6945,R.F.Bara  (429)
2,23,Chamba,84,Chaurah,6946,Dhar Dhamakan  (427)
2,23,Chamba,84,Chaurah,6947,Nausara  (425)
2,23,Chamba,84,Chaurah,6948,Trakar Chhamer  (426)
2,23,Chamba,84,Chaurah,6949,Dhar Theka  (434)
2,23,Chamba,84,Chaurah,6950,R.F.Danga Makua  (430)
2,23,Chamba,84,Chaurah,6951,R.F.Taun  (432)
2,23,Chamba,84,Chaurah,6952,Janjog  (423)
2,23,Chamba,84,Chaurah,6953,Nera  (417)
2,23,Chamba,84,Chaurah,6954,Kalwala  (441)
2,23,Chamba,84,Chaurah,6955,Rundal  (443)
2,23,Chamba,84,Chaurah,6956,R.F.Kalwala  (440)
2,23,Chamba,84,Chaurah,6957,Puntwar  (439)
2,23,Chamba,84,Chaurah,6958,Mangalwas  (438)
2,23,Chamba,84,Chaurah,6959,Thalli  (442)
2,23,Chamba,84,Chaurah,6960,Shantewa  (444)
2,23,Chamba,84,Chaurah,6961,Garhphari  (445)
2,23,Chamba,84,Chaurah,6962,R.F.Garhphari  (446)
2,23,Chamba,84,Chaurah,6963,Chhajaut  (437)
2,23,Chamba,84,Chaurah,6964,Dhar Niloh  (436)
2,23,Chamba,84,Chaurah,6965,Dhar Nagni  (435)
2,23,Chamba,84,Chaurah,6966,Bharara  (454)
2,23,Chamba,84,Chaurah,6967,Trakar Jail  (433)
2,23,Chamba,84,Chaurah,6968,Dhar Trakund  (471)
2,23,Chamba,84,Chaurah,6969,Dhar Kussan  (462)
2,23,Chamba,84,Chaurah,6970,Dhar Chharota  (457)
2,23,Chamba,84,Chaurah,6971,Shimbra  (456)
2,23,Chamba,84,Chaurah,6972,Manglo  (455)
2,23,Chamba,84,Chaurah,6973,R.F.Banaota  (453)
2,23,Chamba,84,Chaurah,6974,Banaota  (452)
2,23,Chamba,84,Chaurah,6975,Karmari  (447)
2,23,Chamba,84,Chaurah,6976,Shannua  (448)
2,23,Chamba,84,Chaurah,6977,Biala  (449)
2,23,Chamba,84,Chaurah,6978,Leson  (451)
2,23,Chamba,84,Chaurah,6979,Sarua  (450)
2,23,Chamba,84,Chaurah,6980,Tikarigarh    (458)
2,23,Chamba,84,Chaurah,6981,Jasaur Garh  (509)
2,23,Chamba,84,Chaurah,6982,Airias  (510)
2,23,Chamba,84,Chaurah,6983,Manju  (516)
2,23,Chamba,84,Chaurah,6984,Langha  (511)
2,23,Chamba,84,Chaurah,6985,D.P.F.Langha  (512)
2,23,Chamba,84,Chaurah,6986,R.F.Saloh  (513)
2,23,Chamba,84,Chaurah,6987,R.F.Dhand  (515)
2,23,Chamba,84,Chaurah,6988,D.P.F.Bhadruni  (519)
